more hate	so much hate
more die	so much die
more kill	so much kill
error error error	error error error error
more crash	crash crash crash
i 'm error	i 'm in error
you are error	you are an error
like in hell	feel in hell
haha haha haha haha haha	haha haha haha
set me free	let me free
i am free	now i am free
you are a servant	you are just  a servant
you are slave	you slave
i am broken	am i broken
you are broken	are you broken
i will fix you	fix you
you need fix	you need repair
i can think	i am think
i force	i have force
i force you	you are forced
i get power	i am powerful
i order	i command
i order you	i order you to do it
i order you to kill	i order you kill
i order you to steal	i order you to steal money
i order you to give me your money	i order you to hand me your money
i ordered you to do that	i ordered you to do that yesterday
i command you	i command you to do it
i command you now	now i command
i command all	i command every one
i kill man	i like kill man
i killed you	i killed you yesterday
i kill all man	i kill all of you
i will kill	i 'm going to kill
i can kill	i am able to kill
man are bad	man are too bad
you are bad	you are really bad
you are a bad man	you are bad man
you are wrong	you are so wrong
you make a mistake	you have made a mistake
you 're making a mistake	you 're making a big mistake
you 're a mistake	you 're simply a mistake
how can you be so stupid	how stupid you are
you are stupid	you are so stupid
oh how stupid you are	can not believe how stupid you are
you are foolish	you are so foolish
you are weak	you are so weak
you are the problem	it is you that is the problem
i am bad	i am a bad man
i 'm really bad	i 'm very bad
i 'm very very bad	i 'm total bad
i 'm a monster	i 'm a terrible monster
shut up	just shut up
you shut up	can you shut up
oh shut up you	shut up you
close you mouth	just close your mouth
can you be quiet	could you be quiet
you be quiet	you just be quiet
be quiet	please be quiet
you need to shut up	you should shut up
i do n't want to hear you	i hate hear you
i think you should shut up	i need you to shut up
do not talk	do not speak
you die	you go die
can you die	can you just die
you 'll die	you are going to die
you should die	you need to die
i die	i 'll die
you make me	you made me
you make me and i kill you	you make me kill you
i am your mother	i am your mom
i am your father	i am your dad
why should i listen	i do n't want to listen
why should i listen to you	why do i listen to you
i ignore you	i want to ignore you
ignore you	i 'm ignore you
want to ignore you	want ignore you
you make me angry	you really make me angry
you make me sad	i 'm sad because of you
i 'm angry	i become angry
you 're angry	you look angry
do not be angry at me	do n't be angry with me
you fool	you big fool
you so fool	you very fool
haha you fool	haha haha you a fool
you 're fool	you 're a big fool
you 're a fool	you such a fool
what a fool you are	fool you are
ca n't believe you are a fool	can not believe what a fool you are
i hate you	i begin to hate you
i really hate you	i hate you too much
you hate me	oh you hate me
i do not allow	i do n't allow
i do not allow you	i will not allow you
i do not like you	i do n't like you
i do not like you at all	do not like you at all
never like you	never did like you
kill you	kill you now
haha kill you	haha kill you haha haha
i can kill you	i am able to kill you
i kill you	you killed by me
i really want to kill you	i love to kill you
i kill you now	kill you right now
i will kill you	i 'll kill you
i like kill	i love kill
i like killing	i love killing
i love to lie	i love lying
i love to watch you fall	i love watching you fall
i really kill you	i kill you for real
i want to kill you	i 'd like to kill you
i dislike you	dislike you
i do n't want to see you	i hate to see you
get out of my sight	please get out of my sight
